yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 82 Avg IOU: 0.703265, Class: 0.982171, Obj: 0.216396, No Obj: 0.001986, .5R: 0.833333, .75R: 0.333333,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000013, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.598091, Class: 0.902614, Obj: 0.222658, No Obj: 0.001338, .5R: 0.800000, .75R: 0.400000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000015, .5R: -nan, .75R: -nan,  count: 0
1005: 1.609847, 1.170327 avg, 0.001000 rate, 11.168957 seconds, 64320 images
Loaded: 0.000076 seconds
Region 82 Avg IOU: 0.570290, Class: 0.988957, Obj: 0.125770, No Obj: 0.001311, .5R: 0.666667, .75R: 0.000000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000023, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.616722, Class: 0.988281, Obj: 0.102860, No Obj: 0.001374, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.646837, Class: 0.992878, Obj: 0.545013, No Obj: 0.001225, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000031, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.575023, Class: 0.972787, Obj: 0.265684, No Obj: 0.001790, .5R: 0.500000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000014, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.662875, Class: 0.991786, Obj: 0.478570, No Obj: 0.002435, .5R: 0.750000, .75R: 0.375000,  count: 8
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000020, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.674367, Class: 0.983660, Obj: 0.284248, No Obj: 0.002739, .5R: 0.923077, .75R: 0.461538,  count: 13
Region 94 Avg IOU: 0.442757, Class: 0.816460, Obj: 0.038931, No Obj: 0.000070, .5R: 0.333333, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.721840, Class: 0.994450, Obj: 0.256146, No Obj: 0.001470, .5R: 1.000000, .75R: 0.600000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000015, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.758027, Class: 0.998745, Obj: 0.579707, No Obj: 0.001850, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000013, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.670874, Class: 0.999046, Obj: 0.119762, No Obj: 0.001342, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000022, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.814601, Class: 0.976251, Obj: 0.084822, No Obj: 0.000910, .5R: 1.000000, .75R: 1.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.444423, Class: 0.998287, Obj: 0.090604, No Obj: 0.001000, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.462050, Class: 0.972758, Obj: 0.117338, No Obj: 0.000033, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.721741, Class: 0.849127, Obj: 0.173568, No Obj: 0.001505, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.716820, Class: 0.992854, Obj: 0.279405, No Obj: 0.001543, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.618402, Class: 0.969786, Obj: 0.080341, No Obj: 0.001169, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.366511, Class: 0.994797, Obj: 0.240405, No Obj: 0.000139, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.815541, Class: 0.999202, Obj: 0.558173, No Obj: 0.002462, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000011, .5R: -nan, .75R: -nan,  count: 0
