yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523676, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.166798, Class: 0.676182, Obj: 0.446466, No Obj: 0.499487, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.142276, Class: 0.566197, Obj: 0.175839, No Obj: 0.522393, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.206447, Class: 0.426650, Obj: 0.411771, No Obj: 0.498405, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523796, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.317665, Class: 0.632208, Obj: 0.657184, No Obj: 0.498568, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.199199, Class: 0.399810, Obj: 0.474158, No Obj: 0.523899, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.293048, Class: 0.455157, Obj: 0.621273, No Obj: 0.500352, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525255, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.351451, Class: 0.499747, Obj: 0.778689, No Obj: 0.500171, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523428, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.263374, Class: 0.529971, Obj: 0.686799, No Obj: 0.499504, .5R: 0.250000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525549, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.204290, Class: 0.540889, Obj: 0.664919, No Obj: 0.499297, .5R: 0.200000, .75R: 0.000000,  count: 5
