yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 1.621513 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341886, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.120581, Class: 0.693799, Obj: 0.604231, No Obj: 0.459635, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.352579, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.018140, Class: 0.613900, Obj: 0.609355, No Obj: 0.458793, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.342334, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.031311, Class: 0.631194, Obj: 0.738337, No Obj: 0.461022, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.334135, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.372917, Class: 0.572337, Obj: 0.209044, No Obj: 0.459644, .5R: 0.214286, .75R: 0.000000,  count: 14
Region 82 Avg IOU: 0.202841, Class: 0.279694, Obj: 0.482841, No Obj: 0.346027, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 93 Avg IOU: 0.044082, Class: 0.779957, Obj: 0.701551, No Obj: 0.459814, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344519, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.265904, Class: 0.579424, Obj: 0.451583, No Obj: 0.459834, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343767, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.128216, Class: 0.699679, Obj: 0.694484, No Obj: 0.459883, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.333738, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.022152, Class: 0.628115, Obj: 0.605645, No Obj: 0.458182, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.352050, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.235067, Class: 0.534702, Obj: 0.538331, No Obj: 0.460549, .5R: 0.000000, .75R: 0.000000,  count: 6
5: 668.624573, 667.648071 avg, 0.000000 rate, 11.024319 seconds, 320 images
Loaded: 0.000060 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.347933, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.023776, Class: 0.700685, Obj: 0.706873, No Obj: 0.460588, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.347504, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.027959, Class: 0.809901, Obj: 0.639160, No Obj: 0.460597, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337223, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.113317, Class: 0.717916, Obj: 0.661749, No Obj: 0.459586, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.335769, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.109315, Class: 0.715910, Obj: 0.704243, No Obj: 0.459361, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337114, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.039595, Class: 0.843579, Obj: 0.641973, No Obj: 0.459792, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.340596, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.278270, Class: 0.525602, Obj: 0.483913, No Obj: 0.459097, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346363, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.028102, Class: 0.670153, Obj: 0.634584, No Obj: 0.459531, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.349629, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.017402, Class: 0.784695, Obj: 0.619604, No Obj: 0.459377, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343395, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.047019, Class: 0.588973, Obj: 0.617856, No Obj: 0.459689, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343953, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.221913, Class: 0.541424, Obj: 0.374378, No Obj: 0.458549, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346585, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.087146, Class: 0.665383, Obj: 0.596857, No Obj: 0.459270, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337929, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.178729, Class: 0.688801, Obj: 0.618939, No Obj: 0.459375, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343126, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.086042, Class: 0.470091, Obj: 0.572785, No Obj: 0.459662, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337255, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.134060, Class: 0.473547, Obj: 0.501518, No Obj: 0.459889, .5R: 0.000000, .75R: 0.000000,  count: 4
